year,category,name_of_work,staff_members
1998,MUSIC (Original Song),"""When You Believe"" from The Prince of Egypt",Music and Lyric by Stephen Schwartz
1998,BEST PICTURE,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
1998,SHORT FILM (Animated),Bunny,Chris Wedge
1998,SHORT FILM (Live Action),Election Night (Valgaften),"Kim Magnusson, Anders Thomas Jensen"
1998,WRITING (Screenplay Based on Material Previously Produced or Published),Gods and Monsters,Bill Condon
1998,WRITING (Screenplay Written Directly for the Screen),Shakespeare in Love,"Marc Norman, Tom Stoppard"
1999,DIRECTING,American Beauty,Sam Mendes
1999,DOCUMENTARY (Feature),One Day in September,"Arthur Cohn, Kevin Macdonald"
1999,DOCUMENTARY (Short Subject),King Gimp,"Susan Hannah Hadary, William A. Whiteford"
1999,DOCUMENTARY (Short Subject),All about My Mother,Spain
1999,MUSIC (Original Score),The Red Violin,John Corigliano
1999,MUSIC (Original Song),"""You'll Be In My Heart"" from Tarzan",Music and Lyric by Phil Collins
1999,BEST PICTURE,American Beauty,"Bruce Cohen and Dan Jinks, Producers"
1999,SHORT FILM (Animated),The Old Man and the Sea,Alexander Petrov
1999,SHORT FILM (Live Action),My Mother Dreams the Satan's Disciples in New York,"Barbara Schock, Tammy Tiehel"
1999,WRITING (Screenplay Based on Material Previously Produced or Published),The Cider House Rules,John Irving
1999,WRITING (Screenplay Written Directly for the Screen),American Beauty,Alan Ball
2000,DIRECTING,Traffic,Steven Soderbergh
2000,DOCUMENTARY (Feature),Into the Arms of Strangers: Stories of the Kindertransport,"Mark Jonathan Harris, Deborah Oppenheimer"
2000,DOCUMENTARY (Short Subject),Big Mama,Tracy Seretean
2000,DOCUMENTARY (Short Subject),"Crouching Tiger, Hidden Dragon",Taiwan
2000,MUSIC (Original Score),"Crouching Tiger, Hidden Dragon",Tan Dun
2000,MUSIC (Original Song),"""Things Have Changed"" from Wonder Boys",Music and Lyric by Bob Dylan
2000,BEST PICTURE,Gladiator,"Douglas Wick, David Franzoni and Branko Lustig, Producers"
2000,SHORT FILM (Animated),Father and Daughter,Michael Dudok de Wit
2000,SHORT FILM (Live Action),Quiero Ser (I want to be...),Florian Gallenberger
2000,WRITING (Screenplay Based on Material Previously Produced or Published),Traffic,Screenplay by Stephen Gaghan
2000,WRITING (Screenplay Written Directly for the Screen),Almost Famous,Written by Cameron Crowe
2001,ANIMATED FEATURE FILM,Shrek,Aron Warner
2001,DIRECTING,A Beautiful Mind,Ron Howard
