year,category,name_of_work,staff_members
2017,BEST PICTURE,Lady Bird,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers"
2017,BEST PICTURE,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers"
2017,BEST PICTURE,The Post,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers"
2017,SHORT FILM (Animated),Lou,Dave Mullins and Dana Murray
2017,SHORT FILM (Animated),Negative Space,Max Porter and Ru Kuwahata
2017,SHORT FILM (Live Action),The Silent Child,Chris Overton and Rachel Shenton
2017,SHORT FILM (Live Action),Watu Wote/All of Us,Katja Benrath and Tobias Rosen
2017,WRITING (Adapted Screenplay),Mudbound,Screenplay by Virgil Williams and Dee Rees
2017,WRITING (Original Screenplay),The Big Sick,Written by Emily V. Gordon & Kumail Nanjiani
2017,WRITING (Original Screenplay),Lady Bird,Written by Greta Gerwig
2017,WRITING (Original Screenplay),The Shape of Water,Screenplay by Guillermo del Toro & Vanessa Taylor; Story by Guillermo del Toro
2018,ANIMATED FEATURE FILM,Incredibles 2,"Brad Bird, John Walker and Nicole Paradis Grindle"
2018,DOCUMENTARY (Feature),Free Solo,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill"
2018,DOCUMENTARY (Feature),"Hale County This Morning, This Evening","RaMell Ross, Joslyn Barnes and Su Kim"
2018,DOCUMENTARY (Feature),Minding the Gap,Bing Liu and Diane Quon
2018,DOCUMENTARY (Feature),Of Fathers and Sons,"Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert"
2018,DOCUMENTARY (Feature),RBG,Betsy West and Julie Cohen
2018,DOCUMENTARY (Short Subject),Period. End of Sentence.,Rayka Zehtabchi and Melissa Berton
2018,MUSIC (Original Song),"""All The Stars"" from Black Panther","Music by Kendrick Lamar, Mark ""Sounwave"" Spears and Anthony ""Top Dawg"" Tiffith; Lyric by Kendrick Lamar, SZA and Anthony ""Top Dawg"" Tiffith"
2018,MUSIC (Original Song),"""I'll Fight"" from RBG",Music and Lyric by Diane Warren
2018,MUSIC (Original Song),"""Shallow"" from A Star Is Born","Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt"
2018,MUSIC (Original Song),"""When A Cowboy Trades His Spurs For Wings"" from The Ballad of Buster Scruggs",Music and Lyric by Gillian Welch and David Rawlings
2018,BEST PICTURE,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers"
2018,BEST PICTURE,Roma,"Gabriela Rodríguez and Alfonso Cuarón, Producers"
2018,BEST PICTURE,A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers"
2018,BEST PICTURE,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers"
2018,SHORT FILM (Animated),Animal Behaviour,Alison Snowden and David Fine
2018,SHORT FILM (Animated),Bao,Domee Shi and Becky Neiman-Cobb
2018,SHORT FILM (Animated),Late Afternoon,Louise Bagnall and Nuria González Blanco
2018,SHORT FILM (Live Action),Fauve,Jeremy Comte and Maria Gracia Turgeon
2018,SHORT FILM (Live Action),Marguerite,Marianne Farley and Marie-Hélène Panisset
2018,SHORT FILM (Live Action),Mother,Rodrigo Sorogoyen and María del Puy Alvarado
2018,SHORT FILM (Live Action),Skin,Guy Nattiv and Jaime Ray Newman
2018,WRITING (Adapted Screenplay),Can You Ever Forgive Me?,Screenplay by Nicole Holofcener and Jeff Whitty
2018,WRITING (Original Screenplay),The Favourite,Written by Deborah Davis and Tony McNamara
2019,ANIMATED FEATURE FILM,How to Train Your Dragon: The Hidden World,"Dean DeBlois, Bradford Lewis and Bonnie Arnold"
2019,ANIMATED FEATURE FILM,Klaus,"Sergio Pablos, Jinko Gotoh and Marisa Román"
2019,ANIMATED FEATURE FILM,Missing Link,"Chris Butler, Arianne Sutner and Travis Knight"
2019,DOCUMENTARY (Feature),American Factory,"Steven Bognar, Julia Reichert and Jeff Reichert"
2019,DOCUMENTARY (Feature),The Cave,"Feras Fayyad, Kirstine Barfod and Sigrid Dyekjær"
2019,DOCUMENTARY (Feature),The Edge of Democracy,"Petra Costa, Joanna Natasegara, Shane Boris and Tiago Pavan"
2019,DOCUMENTARY (Feature),For Sama,Waad al-Kateab and Edward Watts
2019,DOCUMENTARY (Feature),Honeyland,"Ljubo Stefanov, Tamara Kotevska and Atanas Georgiev"
2019,DOCUMENTARY (Short Subject),Learning to Skateboard in a Warzone (If You're a Girl),Carol Dysinger and Elena Andreicheva
2019,DOCUMENTARY (Short Subject),Life Overtakes Me,John Haptas and Kristine Samuelson
2019,DOCUMENTARY (Short Subject),St. Louis Superman,Smriti Mundhra and Sami Khan
2019,DOCUMENTARY (Short Subject),Walk Run Cha-Cha,Laura Nix and Colette Sandstedt
2019,MUSIC (Original Score),Joker,Hildur Guðnadóttir
2019,MUSIC (Original Song),"""I'm Standing With You"" from Breakthrough",Music and Lyric by Diane Warren
2019,MUSIC (Original Song),"""Into The Unknown"" from Frozen II",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
2019,MUSIC (Original Song),"""Stand Up"" from Harriet",Music and Lyric by Joshuah Brian Campbell and Cynthia Erivo
2019,BEST PICTURE,Ford v Ferrari,"Peter Chernin, Jenno Topping and James Mangold, Producers"
2019,BEST PICTURE,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers"
2019,BEST PICTURE,Jojo Rabbit,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers"
2019,BEST PICTURE,Joker,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers"
2019,BEST PICTURE,Little Women,"Amy Pascal, Producer"
2019,BEST PICTURE,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers"
2019,BEST PICTURE,Once upon a Time...in Hollywood,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers"
2019,BEST PICTURE,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers"
2019,SHORT FILM (Animated),Dcera (Daughter),Daria Kashcheeva
2019,SHORT FILM (Animated),Hair Love,Matthew A. Cherry and Karen Rupert Toliver
2019,SHORT FILM (Animated),Kitbull,Rosana Sullivan and Kathryn Hendrickson
2019,SHORT FILM (Animated),Sister,Siqi Song
2019,SHORT FILM (Live Action),Brotherhood,Meryam Joobeur and Maria Gracia Turgeon
2019,SHORT FILM (Live Action),A Sister,Delphine Girard
2019,WRITING (Adapted Screenplay),Little Women,Written for the screen by Greta Gerwig
2019,WRITING (Original Screenplay),1917,Written by Sam Mendes & Krysty Wilson-Cairns
2020,ANIMATED FEATURE FILM,Onward,Dan Scanlon and Kori Rae
2020,ANIMATED FEATURE FILM,Over the Moon,"Glen Keane, Gennie Rim and Peilin Chou"
2020,ANIMATED FEATURE FILM,Soul,Pete Docter and Dana Murray
2020,DIRECTING,Nomadland,Chloé Zhao
2020,DIRECTING,Promising Young Woman,Emerald Fennell
2020,DOCUMENTARY (Feature),Collective,Alexander Nanau and Bianca Oana
2020,DOCUMENTARY (Feature),Crip Camp,"Nicole Newnham, Jim LeBrecht and Sara Bolder"
2020,DOCUMENTARY (Feature),The Mole Agent,Maite Alberdi and Marcela Santibáñez
2020,DOCUMENTARY (Feature),My Octopus Teacher,"Pippa Ehrlich, James Reed and Craig Foster"
2020,DOCUMENTARY (Feature),Time,"Garrett Bradley, Lauren Domino and Kellen Quinn"
2020,DOCUMENTARY (Short Subject),Colette,Anthony Giacchino and Alice Doyard
2020,DOCUMENTARY (Short Subject),Do Not Split,Anders Hammer and Charlotte Cook
2020,DOCUMENTARY (Short Subject),A Love Song for Latasha,Sophia Nahli Allison and Janice Duncan
2020,MUSIC (Original Song),"""Fight For You"" from Judas and the Black Messiah",Music by H.E.R. and Dernst Emile II; Lyric by H.E.R. and Tiara Thomas
2020,MUSIC (Original Song),"""Hear My Voice"" from The Trial of the Chicago 7",Music by Daniel Pemberton; Lyric by Daniel Pemberton and Celeste Waite
2020,MUSIC (Original Song),"""Io Sì (Seen)"" from The Life Ahead (La Vita Davanti a Se)",Music by Diane Warren; Lyric by Diane Warren and Laura Pausini
2020,BEST PICTURE,Mank,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers"
2020,BEST PICTURE,Minari,"Christina Oh, Producer"
2020,BEST PICTURE,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers"
2020,BEST PICTURE,Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers"
2020,SHORT FILM (Animated),Burrow,Madeline Sharafian and Michael Capbarat
2020,SHORT FILM (Live Action),Feeling Through,Doug Roland and Susan Ruzenski
2020,SHORT FILM (Live Action),The Letter Room,Elvira Lind and Sofia Sondervan
2020,SHORT FILM (Live Action),The Present,Farah Nabulsi and Ossama Bawardi
2020,SHORT FILM (Live Action),White Eye,Tomer Shushan and Shira Hochman
2020,WRITING (Adapted Screenplay),Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad
2020,WRITING (Adapted Screenplay),Nomadland,Written for the screen by Chloé Zhao
2020,WRITING (Original Screenplay),Promising Young Woman,Written by Emerald Fennell
2021,ANIMATED FEATURE FILM,Encanto,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer"
2021,ANIMATED FEATURE FILM,Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie"
2021,ANIMATED FEATURE FILM,Luca,Enrico Casarosa and Andrea Warren
2021,ANIMATED FEATURE FILM,Raya and the Last Dragon,"Don Hall, Carlos López Estrada, Osnat Shurer and Peter Del Vecho"
2021,DIRECTING,The Power of the Dog,Jane Campion
2021,DOCUMENTARY (Feature),Ascension,"Jessica Kingdon, Kira Simon-Kennedy and Nathan Truesdell"
2021,DOCUMENTARY (Feature),Attica,Stanley Nelson and Traci A. Curry
2021,DOCUMENTARY (Feature),Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie"
2021,DOCUMENTARY (Feature),Writing with Fire,Rintu Thomas and Sushmit Ghosh
2021,DOCUMENTARY (Short Subject),Three Songs for Benazir,Elizabeth Mirzaei and Gulistan Mirzaei
2021,MUSIC (Original Score),Encanto,Germaine Franco
2021,MUSIC (Original Song),"""Be Alive"" from King Richard",Music and Lyric by DIXSON and Beyoncé Knowles-Carter
2021,MUSIC (Original Song),"""No Time To Die"" from No Time to Die",Music and Lyric by Billie Eilish and Finneas O'Connell
2021,MUSIC (Original Song),"""Somehow You Do"" from Four Good Days",Music and Lyric by Diane Warren
2021,BEST PICTURE,Belfast,"Laura Berwick, Kenneth Branagh, Becca Kovacik and Tamar Thomas, Producers"
2021,BEST PICTURE,Dune,"Mary Parent, Denis Villeneuve and Cale Boyter, Producers"
2021,BEST PICTURE,Licorice Pizza,"Sara Murphy, Adam Somner and Paul Thomas Anderson, Producers"
2021,BEST PICTURE,The Power of the Dog,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning and Roger Frappier, Producers"
2021,BEST PICTURE,West Side Story,"Steven Spielberg and Kristie Macosko Krieger, Producers"
2021,SHORT FILM (Animated),Affairs of the Art,Joanna Quinn and Les Mills
2021,SHORT FILM (Live Action),Ala Kachuu - Take and Run,Maria Brendle and Nadine Lüchinger
2021,SHORT FILM (Live Action),Please Hold,K.D. Dávila and Levin Menekse
2021,WRITING (Adapted Screenplay),CODA,Screenplay by Siân Heder
2021,WRITING (Adapted Screenplay),The Lost Daughter,Written by Maggie Gyllenhaal
2021,WRITING (Adapted Screenplay),The Power of the Dog,Written by Jane Campion
2022,ANIMATED FEATURE FILM,Marcel the Shell with Shoes On,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan and Paul Mezey"
2022,ANIMATED FEATURE FILM,Turning Red,Domee Shi and Lindsey Collins
2022,DOCUMENTARY FEATURE FILM,All the Beauty and the Bloodshed,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin and Yoni Golijov"
2022,DOCUMENTARY FEATURE FILM,Fire of Love,"Sara Dosa, Shane Boris and Ina Fichman"
2022,DOCUMENTARY FEATURE FILM,A House Made of Splinters,Simon Lereng Wilmont and Monica Hellström
2022,DOCUMENTARY FEATURE FILM,Navalny,"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris"
2022,DOCUMENTARY SHORT FILM,The Elephant Whisperers,Kartiki Gonsalves and Guneet Monga
2022,DOCUMENTARY SHORT FILM,Haulout,Evgenia Arbugaeva and Maxim Arbugaev
2022,DOCUMENTARY SHORT FILM,The Martha Mitchell Effect,Anne Alvergue and Beth Levison
2022,MUSIC (Original Song),"""Applause"" from Tell It like a Woman",Music and Lyric by Diane Warren
2022,MUSIC (Original Song),"""Hold My Hand"" from Top Gun: Maverick",Music and Lyric by Lady Gaga and BloodPop
2022,MUSIC (Original Song),"""Lift Me Up"" from Black Panther: Wakanda Forever","Music by Tems, Rihanna, Ryan Coogler and Ludwig Goransson; Lyric by Tems and Ryan Coogler"
2022,MUSIC (Original Song),"""This Is A Life"" from Everything Everywhere All at Once","Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne"
2022,BEST PICTURE,Elvis,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers"
2022,BEST PICTURE,The Fabelmans,"Kristie Macosko Krieger, Steven Spielberg and Tony Kushner, Producers"
2022,BEST PICTURE,Tár,"Todd Field, Alexandra Milchan and Scott Lambert, Producers"
2022,BEST PICTURE,Women Talking,"Dede Gardner, Jeremy Kleiner and Frances McDormand, Producers"
2022,SHORT FILM (Animated),The Flying Sailor,Amanda Forbis and Wendy Tilby
2022,SHORT FILM (Animated),My Year of Dicks,Sara Gunnarsdóttir and Pamela Ribon
2022,SHORT FILM (Live Action),Ivalu,Anders Walter and Rebecca Pruzan
2022,SHORT FILM (Live Action),Le Pupille,Alice Rohrwacher and Alfonso Cuarón
2022,WRITING (Adapted Screenplay),All Quiet on the Western Front,"Screenplay - Edward Berger, Lesley Paterson & Ian Stokell"
2022,WRITING (Adapted Screenplay),Women Talking,Screenplay by Sarah Polley
