year,category,name_of_work,staff_members
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Cries and Whispers,Ingmar Bergman
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Save the Tiger,Steve Shagan
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Sting,David S. Ward
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),A Touch of Class,"Melvin Frank, Jack Rose"
1974,DIRECTING,Chinatown,Roman Polanski
1974,DIRECTING,Day for Night,Francois Truffaut
1974,DIRECTING,The Godfather Part II,Francis Ford Coppola
1974,DIRECTING,Lenny,Bob Fosse
1974,DIRECTING,A Woman under the Influence,John Cassavetes
1974,DOCUMENTARY (Feature),Antonia: A Portrait of the Woman,"Judy Collins and Jill Godmilow, Producers"
1974,DOCUMENTARY (Feature),The Challenge...A Tribute to Modern Art,"Herbert Kline, Producer"
1974,DOCUMENTARY (Feature),The 81st Blow,"Jacquot Ehrlich, David Bergman and Haim Gouri, Producers"
1974,DOCUMENTARY (Feature),Hearts and Minds,"Peter Davis and Bert Schneider, Producers"
1974,DOCUMENTARY (Feature),The Wild and the Brave,"Natalie R. Jones and Eugene S. Jones, Producers"
1974,MUSIC (Original Dramatic Score),Chinatown,Jerry Goldsmith
1974,MUSIC (Original Dramatic Score),The Godfather Part II,"Nino Rota, Carmine Coppola"
1974,MUSIC (Original Dramatic Score),Murder on the Orient Express,Richard Rodney Bennett
1974,MUSIC (Original Dramatic Score),Shanks,Alex North
1974,MUSIC (Original Dramatic Score),The Towering Inferno,John Williams
1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Great Gatsby,Adaptation Score by Nelson Riddle
1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Little Prince,Song Score by Alan Jay Lerner and Frederick Loewe; Adaptation Score by Angela Morley and Douglas Gamley
1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Phantom of the Paradise,Song Score by Paul Williams; Adaptation Score by Paul Williams and George Aliceson Tipton
1974,MUSIC (Song),"""Benji's Theme (I Feel Love)"" from Benji",Music by Euel Box; Lyrics by Betty Box
1974,MUSIC (Song),"""Blazing Saddles"" from Blazing Saddles",Music by John Morris; Lyrics by Mel Brooks
1974,MUSIC (Song),"""Little Prince"" from The Little Prince",Music by Frederick Loewe; Lyrics by Alan Jay Lerner
1974,MUSIC (Song),"""We May Never Love Like This Again"" from The Towering Inferno",Music and Lyrics by Al Kasha and Joel Hirschhorn
